WL(nm),Abs, T%
1019,4.4813,0
1020,4.1714,0.01
1021,4.1624,0.01
1022,4.4545,0
1023,3.8436,0.01
1024,4.4364,0
1025,3.825,0.01
1026,3.9407,0.01
1027,4.4087,0
1028,3.9222,0.01
1029,4.0885,0.01
1030,4.3796,0
1031,3.8923,0.01
1032,4.0581,0.01
1033,4.0481,0.01
1034,3.6402,0.02
1035,4.3293,0
1036,3.7172,0.02
1037,3.8317,0.01
1038,3.8226,0.02
1039,3.7511,0.02
1040,4.285,0.01
1041,3.6217,0.02
1042,3.9634,0.01
1043,4.2541,0.01
1044,3.6416,0.02
1045,3.9323,0.01
1046,3.7465,0.02
1047,3.7365,0.02
1048,4.2039,0.01
1049,3.5402,0.03
1050,3.7058,0.02
1051,3.8716,0.01
1052,3.6168,0.02
1053,3.7516,0.02
1054,3.8377,0.01
1055,3.4744,0.03
1056,3.9406,0.01
1057,3.504,0.03
1058,3.4934,0.03
1059,3.7837,0.02
1060,3.5295,0.03
1061,3.6642,0.02
1062,3.8752,0.01
1063,3.3871,0.04
1064,3.8536,0.01
1065,3.7185,0.02
1066,4.3115,0
1067,3.5976,0.03
1068,3.474,0.03
1069,4.1018,0.01
1070,3.3941,0.04
1071,3.6068,0.02
1072,4.0743,0.01
1073,3.3947,0.04
1074,3.6857,0.02
1075,3.5212,0.03
1076,3.3354,0.05
1077,3.9002,0.01
1078,3.3463,0.05
1079,3.3366,0.05
1080,3.8715,0.01
1081,3.3502,0.04
1082,3.501,0.03
1083,3.6012,0.03
1084,3.3235,0.05
1085,3.9529,0.01
1086,3.3816,0.04
1087,3.2385,0.06
1088,3.7049,0.02
1089,3.3937,0.04
1090,3.4809,0.03
1091,3.6746,0.02
1092,3.0846,0.08
1093,3.5093,0.03
1094,3.501,0.03
1095,3.1104,0.08
1096,3.8642,0.01
1097,3.228,0.06
1098,3.1556,0.07
1099,3.8393,0.01
1100,3.0322,0.09
