Sample Name, GLASS
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
728.0, 0.0661, 85.89
729.0, 0.0661, 85.87
730.0, 0.0663, 85.85
731.0, 0.0664, 85.82
732.0, 0.0667, 85.77
733.0, 0.0667, 85.76
734.0, 0.0669, 85.72
735.0, 0.0671, 85.69
736.0, 0.0672, 85.67
737.0, 0.0674, 85.62
738.0, 0.0675, 85.60
739.0, 0.0677, 85.58
740.0, 0.0677, 85.57
741.0, 0.0679, 85.53
742.0, 0.0682, 85.47
743.0, 0.0683, 85.45
744.0, 0.0684, 85.43
745.0, 0.0686, 85.40
746.0, 0.0686, 85.38
747.0, 0.0688, 85.35
748.0, 0.0689, 85.32
749.0, 0.0690, 85.31
750.0, 0.0692, 85.28
751.0, 0.0693, 85.24
752.0, 0.0694, 85.23
753.0, 0.0696, 85.19
754.0, 0.0698, 85.16
755.0, 0.0699, 85.13
756.0, 0.0702, 85.08
757.0, 0.0701, 85.09
758.0, 0.0703, 85.06
759.0, 0.0705, 85.02
760.0, 0.0706, 85.00
761.0, 0.0706, 84.99
762.0, 0.0708, 84.96
763.0, 0.0709, 84.94
764.0, 0.0711, 84.90
765.0, 0.0713, 84.87
766.0, 0.0714, 84.83
767.0, 0.0716, 84.80
768.0, 0.0716, 84.81
769.0, 0.0717, 84.79
770.0, 0.0719, 84.75
771.0, 0.0719, 84.74
772.0, 0.0722, 84.69
773.0, 0.0722, 84.69
774.0, 0.0725, 84.63
775.0, 0.0726, 84.61
776.0, 0.0725, 84.62
777.0, 0.0729, 84.56
778.0, 0.0729, 84.54
779.0, 0.0730, 84.53
780.0, 0.0732, 84.50
781.0, 0.0732, 84.49
782.0, 0.0734, 84.46
783.0, 0.0735, 84.43
784.0, 0.0735, 84.43
785.0, 0.0736, 84.41
786.0, 0.0738, 84.38
787.0, 0.0738, 84.38
788.0, 0.0738, 84.37
789.0, 0.0742, 84.30
790.0, 0.0742, 84.30
791.0, 0.0743, 84.27
792.0, 0.0737, 84.40
793.0, 0.0739, 84.35
794.0, 0.0741, 84.32
795.0, 0.0741, 84.32
796.0, 0.0745, 84.24
797.0, 0.0744, 84.25
798.0, 0.0746, 84.21
799.0, 0.0748, 84.18
800.0, 0.0749, 84.15
801.0, 0.0751, 84.11
802.0, 0.0753, 84.09
803.0, 0.0753, 84.08
804.0, 0.0756, 84.02
805.0, 0.0757, 83.99
806.0, 0.0758, 83.98
807.0, 0.0759, 83.96
808.0, 0.0759, 83.96
809.0, 0.0761, 83.92
810.0, 0.0763, 83.90
811.0, 0.0763, 83.88
812.0, 0.0766, 83.84
813.0, 0.0768, 83.78
814.0, 0.0769, 83.77
815.0, 0.0771, 83.74
816.0, 0.0771, 83.74
817.0, 0.0774, 83.68
818.0, 0.0774, 83.67
819.0, 0.0774, 83.67
820.0, 0.0777, 83.62
821.0, 0.0779, 83.58
822.0, 0.0778, 83.59
823.0, 0.0781, 83.55
824.0, 0.0782, 83.52
825.0, 0.0783, 83.50
826.0, 0.0785, 83.47
827.0, 0.0784, 83.48
828.0, 0.0787, 83.43
829.0, 0.0786, 83.44
830.0, 0.0788, 83.41
831.0, 0.0790, 83.37
832.0, 0.0791, 83.35
833.0, 0.0792, 83.34
834.0, 0.0795, 83.28
835.0, 0.0796, 83.25
836.0, 0.0798, 83.22
837.0, 0.0799, 83.20
838.0, 0.0800, 83.17
839.0, 0.0801, 83.15
840.0, 0.0803, 83.11
841.0, 0.0803, 83.12
842.0, 0.0806, 83.05
843.0, 0.0808, 83.02
844.0, 0.0809, 83.01
845.0, 0.0810, 82.99
846.0, 0.0811, 82.96
847.0, 0.0813, 82.94
848.0, 0.0813, 82.92
849.0, 0.0814, 82.91
850.0, 0.0817, 82.86
851.0, 0.0816, 82.88
852.0, 0.0817, 82.86
853.0, 0.0819, 82.81
854.0, 0.0820, 82.80
855.0, 0.0822, 82.76
856.0, 0.0823, 82.74
857.0, 0.0825, 82.70
858.0, 0.0826, 82.68
859.0, 0.0828, 82.64
860.0, 0.0829, 82.62
861.0, 0.0830, 82.60
862.0, 0.0832, 82.57
863.0, 0.0833, 82.54
864.0, 0.0835, 82.51
865.0, 0.0836, 82.49
866.0, 0.0838, 82.46
867.0, 0.0839, 82.44
868.0, 0.0840, 82.41
869.0, 0.0841, 82.40
870.0, 0.0843, 82.37
871.0, 0.0844, 82.34
872.0, 0.0845, 82.32
873.0, 0.0846, 82.30
874.0, 0.0848, 82.26
875.0, 0.0849, 82.24
876.0, 0.0850, 82.22
877.0, 0.0851, 82.20
878.0, 0.0852, 82.18
879.0, 0.0853, 82.16
880.0, 0.0855, 82.13
881.0, 0.0856, 82.12
882.0, 0.0857, 82.10
883.0, 0.0859, 82.06
884.0, 0.0859, 82.05
885.0, 0.0860, 82.03
886.0, 0.0861, 82.02
887.0, 0.0862, 81.99
888.0, 0.0863, 81.98
889.0, 0.0864, 81.96
890.0, 0.0864, 81.95
891.0, 0.0865, 81.94
892.0, 0.0866, 81.92
893.0, 0.0868, 81.89
894.0, 0.0868, 81.88
895.0, 0.0868, 81.88
896.0, 0.0869, 81.86
897.0, 0.0872, 81.81
898.0, 0.0872, 81.81
899.0, 0.0873, 81.79
900.0, 0.0873, 81.78
901.0, 0.0874, 81.77
902.0, 0.0875, 81.76
903.0, 0.0875, 81.75
904.0, 0.0875, 81.75
905.0, 0.0875, 81.74
906.0, 0.0878, 81.70
907.0, 0.0877, 81.72
908.0, 0.0877, 81.71
909.0, 0.0879, 81.67
910.0, 0.0881, 81.63
911.0, 0.0882, 81.62
912.0, 0.0881, 81.65
913.0, 0.0883, 81.61
914.0, 0.0883, 81.60
915.0, 0.0884, 81.58
916.0, 0.0884, 81.58
917.0, 0.0885, 81.57
918.0, 0.0886, 81.54
919.0, 0.0886, 81.54
920.0, 0.0887, 81.53
921.0, 0.0887, 81.53
922.0, 0.0886, 81.54
923.0, 0.0886, 81.54
924.0, 0.0888, 81.50
925.0, 0.0888, 81.50
926.0, 0.0889, 81.50
927.0, 0.0890, 81.47
928.0, 0.0890, 81.47
929.0, 0.0890, 81.48
930.0, 0.0890, 81.48
931.0, 0.0891, 81.45
932.0, 0.0891, 81.45
933.0, 0.0892, 81.43
934.0, 0.0891, 81.45
935.0, 0.0891, 81.44
936.0, 0.0892, 81.43
937.0, 0.0892, 81.43
938.0, 0.0892, 81.43
939.0, 0.0892, 81.43
940.0, 0.0894, 81.40
941.0, 0.0894, 81.39
942.0, 0.0893, 81.41
943.0, 0.0895, 81.38
944.0, 0.0895, 81.38
945.0, 0.0895, 81.38
946.0, 0.0896, 81.37
947.0, 0.0895, 81.38
948.0, 0.0895, 81.37
949.0, 0.0894, 81.39
950.0, 0.0895, 81.38
951.0, 0.0895, 81.37
952.0, 0.0894, 81.39
953.0, 0.0896, 81.35
954.0, 0.0896, 81.35
955.0, 0.0896, 81.35
956.0, 0.0896, 81.36
957.0, 0.0897, 81.35
958.0, 0.0896, 81.35
959.0, 0.0897, 81.33
960.0, 0.0897, 81.34
961.0, 0.0897, 81.34
962.0, 0.0897, 81.35
963.0, 0.0897, 81.34
964.0, 0.0896, 81.35
965.0, 0.0897, 81.35
966.0, 0.0896, 81.36
967.0, 0.0897, 81.33
968.0, 0.0898, 81.32
969.0, 0.0896, 81.36
970.0, 0.0896, 81.37
971.0, 0.0897, 81.34
972.0, 0.0888, 81.51
973.0, 0.0887, 81.53
974.0, 0.0888, 81.51
975.0, 0.0890, 81.46
976.0, 0.0890, 81.47
977.0, 0.0890, 81.47
978.0, 0.0892, 81.43
979.0, 0.0892, 81.43
980.0, 0.0891, 81.45
981.0, 0.0891, 81.45
982.0, 0.0892, 81.43
983.0, 0.0893, 81.42
984.0, 0.0891, 81.45
985.0, 0.0890, 81.46
986.0, 0.0891, 81.46
987.0, 0.0890, 81.47
988.0, 0.0891, 81.46
989.0, 0.0890, 81.46
990.0, 0.0890, 81.46
991.0, 0.0890, 81.46
992.0, 0.0891, 81.45
993.0, 0.0890, 81.47
994.0, 0.0890, 81.47
995.0, 0.0890, 81.46
996.0, 0.0889, 81.49
997.0, 0.0890, 81.47
998.0, 0.0888, 81.50
999.0, 0.0889, 81.49
1000.0, 0.0889, 81.48
1001.0, 0.0887, 81.52
1002.0, 0.0888, 81.51
1003.0, 0.0887, 81.52
1004.0, 0.0885, 81.56
1005.0, 0.0886, 81.54
1006.0, 0.0887, 81.52
1007.0, 0.0885, 81.56
1008.0, 0.0885, 81.56
1009.0, 0.0883, 81.61
1010.0, 0.0884, 81.59
1011.0, 0.0883, 81.60
1012.0, 0.0882, 81.62
1013.0, 0.0883, 81.61
1014.0, 0.0883, 81.61
1015.0, 0.0881, 81.64
1016.0, 0.0880, 81.66
1017.0, 0.0872, 81.80
1018.0, 0.0873, 81.79
1019.0, 0.0873, 81.78
1020.0, 0.0873, 81.79
1021.0, 0.0875, 81.74
1022.0, 0.0876, 81.74
1023.0, 0.0874, 81.77
1024.0, 0.0874, 81.78
1025.0, 0.0873, 81.80
1026.0, 0.0874, 81.77
1027.0, 0.0874, 81.78
1028.0, 0.0872, 81.82
1029.0, 0.0873, 81.79
1030.0, 0.0869, 81.86
1031.0, 0.0869, 81.86
1032.0, 0.0870, 81.84
1033.0, 0.0870, 81.86
1034.0, 0.0871, 81.83
1035.0, 0.0869, 81.86
1036.0, 0.0869, 81.86
1037.0, 0.0871, 81.83
1038.0, 0.0870, 81.85
1039.0, 0.0867, 81.90
1040.0, 0.0870, 81.86
1041.0, 0.0869, 81.87
1042.0, 0.0866, 81.92
1043.0, 0.0867, 81.91
1044.0, 0.0865, 81.93
1045.0, 0.0865, 81.94
1046.0, 0.0866, 81.93
1047.0, 0.0861, 82.01
1048.0, 0.0864, 81.96
1049.0, 0.0856, 82.11
1050.0, 0.0858, 82.08
1051.0, 0.0857, 82.09
1052.0, 0.0856, 82.11
1053.0, 0.0859, 82.05
1054.0, 0.0859, 82.06
1055.0, 0.0859, 82.06
1056.0, 0.0861, 82.02
1057.0, 0.0858, 82.07
1058.0, 0.0860, 82.03
1059.0, 0.0858, 82.08
1060.0, 0.0856, 82.10
1061.0, 0.0859, 82.06
1062.0, 0.0858, 82.08
1063.0, 0.0857, 82.09
1064.0, 0.0860, 82.03
1065.0, 0.0859, 82.05
1066.0, 0.0860, 82.04
1067.0, 0.0862, 82.00
1068.0, 0.0859, 82.05
1069.0, 0.0861, 82.02
1070.0, 0.0859, 82.06
1071.0, 0.0858, 82.07
1072.0, 0.0859, 82.05
1073.0, 0.0860, 82.03
1074.0, 0.0859, 82.06
1075.0, 0.0859, 82.05
1076.0, 0.0858, 82.07
1077.0, 0.0848, 82.26
