Sample Name, 45.55.
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
934.0, 1.3937, 4.04
935.0, 1.3946, 4.03
936.0, 1.3934, 4.04
937.0, 1.3939, 4.04
938.0, 1.3939, 4.04
939.0, 1.3945, 4.03
940.0, 1.3944, 4.03
941.0, 1.3948, 4.03
942.0, 1.3937, 4.04
943.0, 1.3939, 4.04
944.0, 1.3957, 4.02
945.0, 1.3948, 4.03
946.0, 1.3954, 4.02
947.0, 1.3957, 4.02
948.0, 1.3951, 4.03
949.0, 1.3959, 4.02
950.0, 1.3962, 4.02
951.0, 1.3951, 4.03
952.0, 1.3961, 4.02
953.0, 1.3956, 4.02
954.0, 1.3963, 4.02
955.0, 1.3963, 4.02
956.0, 1.3959, 4.02
957.0, 1.3964, 4.01
958.0, 1.3972, 4.01
959.0, 1.3967, 4.01
960.0, 1.3970, 4.01
961.0, 1.3964, 4.01
962.0, 1.3969, 4.01
963.0, 1.3982, 4.00
964.0, 1.3965, 4.01
965.0, 1.3967, 4.01
966.0, 1.3971, 4.01
967.0, 1.3976, 4.00
968.0, 1.3970, 4.01
969.0, 1.3982, 4.00
970.0, 1.3967, 4.01
971.0, 1.3974, 4.01
972.0, 1.3962, 4.02
973.0, 1.3972, 4.01
974.0, 1.3966, 4.01
975.0, 1.3975, 4.00
976.0, 1.3976, 4.00
977.0, 1.3968, 4.01
978.0, 1.3976, 4.00
979.0, 1.3982, 4.00
980.0, 1.3977, 4.00
981.0, 1.3981, 4.00
982.0, 1.3982, 4.00
983.0, 1.3983, 4.00
984.0, 1.3990, 3.99
985.0, 1.3982, 4.00
986.0, 1.3989, 3.99
987.0, 1.3991, 3.99
988.0, 1.3981, 4.00
989.0, 1.3991, 3.99
990.0, 1.3994, 3.99
991.0, 1.3990, 3.99
992.0, 1.3996, 3.98
993.0, 1.3990, 3.99
994.0, 1.3994, 3.99
995.0, 1.4006, 3.98
996.0, 1.4001, 3.98
997.0, 1.4010, 3.97
998.0, 1.4003, 3.98
999.0, 1.3992, 3.99
1000.0, 1.4010, 3.97
1001.0, 1.4010, 3.97
1002.0, 1.3995, 3.99
1003.0, 1.4008, 3.97
1004.0, 1.3997, 3.98
1005.0, 1.4005, 3.98
1006.0, 1.4009, 3.97
1007.0, 1.4003, 3.98
1008.0, 1.4009, 3.97
1009.0, 1.4007, 3.97
1010.0, 1.4006, 3.98
1011.0, 1.4017, 3.97
1012.0, 1.4002, 3.98
1013.0, 1.4010, 3.97
1014.0, 1.4023, 3.96
1015.0, 1.4011, 3.97
1016.0, 1.4016, 3.97
1017.0, 1.4004, 3.98
1018.0, 1.4006, 3.98
1019.0, 1.4012, 3.97
1020.0, 1.4000, 3.98
1021.0, 1.4016, 3.97
1022.0, 1.4018, 3.96
1023.0, 1.4011, 3.97
1024.0, 1.4020, 3.96
1025.0, 1.4015, 3.97
1026.0, 1.4013, 3.97
1027.0, 1.4024, 3.96
1028.0, 1.4015, 3.97
1029.0, 1.4025, 3.96
1030.0, 1.4027, 3.96
1031.0, 1.4016, 3.97
1032.0, 1.4037, 3.95
1033.0, 1.4030, 3.95
1034.0, 1.4022, 3.96
1035.0, 1.4036, 3.95
1036.0, 1.4028, 3.96
1037.0, 1.4030, 3.95
1038.0, 1.4041, 3.94
1039.0, 1.4034, 3.95
1040.0, 1.4040, 3.94
1041.0, 1.4042, 3.94
1042.0, 1.4033, 3.95
1043.0, 1.4045, 3.94
1044.0, 1.4033, 3.95
1045.0, 1.4037, 3.95
1046.0, 1.4054, 3.93
1047.0, 1.4038, 3.95
1048.0, 1.4033, 3.95
1049.0, 1.4027, 3.96
1050.0, 1.4036, 3.95
1051.0, 1.4047, 3.94
1052.0, 1.4040, 3.94
1053.0, 1.4057, 3.93
1054.0, 1.4063, 3.92
1055.0, 1.4053, 3.93
1056.0, 1.4066, 3.92
1057.0, 1.4053, 3.93
1058.0, 1.4048, 3.94
1059.0, 1.4074, 3.91
1060.0, 1.4040, 3.94
1061.0, 1.4063, 3.92
1062.0, 1.4073, 3.92
1063.0, 1.4037, 3.95
1064.0, 1.4092, 3.90
1065.0, 1.4074, 3.91
1066.0, 1.4066, 3.92
1067.0, 1.4091, 3.90
1068.0, 1.4052, 3.93
1069.0, 1.4076, 3.91
1070.0, 1.4097, 3.89
1071.0, 1.4064, 3.92
1072.0, 1.4079, 3.91
1073.0, 1.4087, 3.90
1074.0, 1.4064, 3.92
1075.0, 1.4095, 3.90
1076.0, 1.4148, 3.85
